[1;34m[src/utils/log.c:30 init_log] Log is written to /home/wang/InternalDependent_ysyx-workbench/am-kernels/kernels/litenes/build/nemu-log.txt[0m
[1;34m[src/memory/paddr.c:54 init_mem] physical memory area [0x80000000, 0x87ffffff][0m
[1;34m[src/device/io/mmio.c:52 add_mmio_map] Add mmio map 'serial' at [0xa00003f8, 0xa00003ff][0m
[1;34m[src/device/io/mmio.c:52 add_mmio_map] Add mmio map 'rtc' at [0xa0000048, 0xa000004f][0m
[1;34m[src/device/io/mmio.c:52 add_mmio_map] Add mmio map 'vgactl' at [0xa0000100, 0xa0000107][0m
[1;34m[src/device/io/mmio.c:52 add_mmio_map] Add mmio map 'vmem' at [0xa1000000, 0xa10752ff][0m
[1;34m[src/device/io/mmio.c:52 add_mmio_map] Add mmio map 'keyboard' at [0xa0000060, 0xa0000063][0m
[1;34m[src/device/io/mmio.c:52 add_mmio_map] Add mmio map 'audio' at [0xa0000200, 0xa0000217][0m
[1;34m[src/device/io/mmio.c:52 add_mmio_map] Add mmio map 'audio-sbuf' at [0xa1200000, 0xa120ffff][0m
[1;34m[src/monitor/monitor.c:60 load_img] The image is /home/wang/InternalDependent_ysyx-workbench/am-kernels/kernels/litenes/build/litenes-riscv32-nemu.bin, size = 1549929[0m
[1;34m[src/monitor/monitor.c:28 welcome] Trace: [1;32mON[0m[0m
[1;34m[src/monitor/monitor.c:29 welcome] If trace is enabled, a log file will be generated to record the trace. This may lead to a large log file. If it is not necessary, you can disable it in menuconfig[0m
[1;34m[src/monitor/monitor.c:32 welcome] Build time: 16:42:53, Apr 30 2026[0m
0x80000000: 00 00 04 13 mv	s0, zero
0x80000004: 00 18 31 17 auipc	sp, 0x183
0x80000008: ff c1 01 13 addi	sp, sp, -4
0x8000000c: 06 00 40 ef jal	0x4060
0x8000406c: ff 01 01 13 addi	sp, sp, -0x10
0x80004070: 00 00 15 17 auipc	a0, 1
0x80004074: 1e 85 05 13 addi	a0, a0, 0x1e8
0x80004078: 00 11 26 23 sw	ra, 0xc(sp)
0x8000407c: 9f 5f f0 ef jal	-0x60c
0x80003a70: fe 01 01 13 addi	sp, sp, -0x20
0x80003a74: 00 11 2e 23 sw	ra, 0x1c(sp)
0x80003a78: 6a 80 00 ef jal	0x6a8
0x80004120: ff 01 01 13 addi	sp, sp, -0x10
0x80004124: 00 11 26 23 sw	ra, 0xc(sp)
0x80004128: 00 00 b7 97 auipc	a5, 0xb
0x8000412c: 20 c7 87 93 addi	a5, a5, 0x20c
0x80004130: 00 00 b6 97 auipc	a3, 0xb
0x80004134: 40 46 86 93 addi	a3, a3, 0x404
0x80004138: 00 00 06 17 auipc	a2, 0
0x8000413c: f8 06 06 13 addi	a2, a2, -0x80
0x80004140: 00 c0 00 6f j	0xc
0x8000414c: 00 07 a7 03 lw	a4, 0(a5)
0x80004150: fe 07 1a e3 bnez	a4, -0xc
0x80004154: 00 c7 a0 23 sw	a2, 0(a5)
0x80004158: 00 47 87 93 addi	a5, a5, 4
0x8000415c: fe d7 98 e3 bne	a5, a3, -0x10
0x8000414c: 00 07 a7 03 lw	a4, 0(a5)
0x80004150: fe 07 1a e3 bnez	a4, -0xc
0x80004144: 00 47 87 93 addi	a5, a5, 4
0x80004148: 00 d7 8c 63 beq	a5, a3, 0x18
0x8000414c: 00 07 a7 03 lw	a4, 0(a5)
0x80004150: fe 07 1a e3 bnez	a4, -0xc
0x80004154: 00 c7 a0 23 sw	a2, 0(a5)
0x80004158: 00 47 87 93 addi	a5, a5, 4
0x8000415c: fe d7 98 e3 bne	a5, a3, -0x10
0x8000414c: 00 07 a7 03 lw	a4, 0(a5)
0x80004150: fe 07 1a e3 bnez	a4, -0xc
0x80004154: 00 c7 a0 23 sw	a2, 0(a5)
0x80004158: 00 47 87 93 addi	a5, a5, 4
0x8000415c: fe d7 98 e3 bne	a5, a3, -0x10
0x8000414c: 00 07 a7 03 lw	a4, 0(a5)
0x80004150: fe 07 1a e3 bnez	a4, -0xc
0x80004144: 00 47 87 93 addi	a5, a5, 4
0x80004148: 00 d7 8c 63 beq	a5, a3, 0x18
0x8000414c: 00 07 a7 03 lw	a4, 0(a5)
0x80004150: fe 07 1a e3 bnez	a4, -0xc
0x80004144: 00 47 87 93 addi	a5, a5, 4
0x80004148: 00 d7 8c 63 beq	a5, a3, 0x18
0x8000414c: 00 07 a7 03 lw	a4, 0(a5)
0x80004150: fe 07 1a e3 bnez	a4, -0xc
0x80004144: 00 47 87 93 addi	a5, a5, 4
0x80004148: 00 d7 8c 63 beq	a5, a3, 0x18
0x8000414c: 00 07 a7 03 lw	a4, 0(a5)
0x80004150: fe 07 1a e3 bnez	a4, -0xc
0x80004144: 00 47 87 93 addi	a5, a5, 4
0x80004148: 00 d7 8c 63 beq	a5, a3, 0x18
0x8000414c: 00 07 a7 03 lw	a4, 0(a5)
0x80004150: fe 07 1a e3 bnez	a4, -0xc
0x80004144: 00 47 87 93 addi	a5, a5, 4
0x80004148: 00 d7 8c 63 beq	a5, a3, 0x18
0x8000414c: 00 07 a7 03 lw	a4, 0(a5)
0x80004150: fe 07 1a e3 bnez	a4, -0xc
0x80004144: 00 47 87 93 addi	a5, a5, 4
0x80004148: 00 d7 8c 63 beq	a5, a3, 0x18
0x8000414c: 00 07 a7 03 lw	a4, 0(a5)
0x80004150: fe 07 1a e3 bnez	a4, -0xc
0x80004144: 00 47 87 93 addi	a5, a5, 4
0x80004148: 00 d7 8c 63 beq	a5, a3, 0x18
0x8000414c: 00 07 a7 03 lw	a4, 0(a5)
0x80004150: fe 07 1a e3 bnez	a4, -0xc
0x80004144: 00 47 87 93 addi	a5, a5, 4
0x80004148: 00 d7 8c 63 beq	a5, a3, 0x18
0x8000414c: 00 07 a7 03 lw	a4, 0(a5)
0x80004150: fe 07 1a e3 bnez	a4, -0xc
0x80004154: 00 c7 a0 23 sw	a2, 0(a5)
0x80004158: 00 47 87 93 addi	a5, a5, 4
0x8000415c: fe d7 98 e3 bne	a5, a3, -0x10
0x8000414c: 00 07 a7 03 lw	a4, 0(a5)
0x80004150: fe 07 1a e3 bnez	a4, -0xc
0x80004154: 00 c7 a0 23 sw	a2, 0(a5)
0x80004158: 00 47 87 93 addi	a5, a5, 4
0x8000415c: fe d7 98 e3 bne	a5, a3, -0x10
0x8000414c: 00 07 a7 03 lw	a4, 0(a5)
0x80004150: fe 07 1a e3 bnez	a4, -0xc
0x80004144: 00 47 87 93 addi	a5, a5, 4
0x80004148: 00 d7 8c 63 beq	a5, a3, 0x18
0x8000414c: 00 07 a7 03 lw	a4, 0(a5)
0x80004150: fe 07 1a e3 bnez	a4, -0xc
0x80004144: 00 47 87 93 addi	a5, a5, 4
0x80004148: 00 d7 8c 63 beq	a5, a3, 0x18
0x8000414c: 00 07 a7 03 lw	a4, 0(a5)
0x80004150: fe 07 1a e3 bnez	a4, -0xc
0x80004144: 00 47 87 93 addi	a5, a5, 4
0x80004148: 00 d7 8c 63 beq	a5, a3, 0x18
0x8000414c: 00 07 a7 03 lw	a4, 0(a5)
0x80004150: fe 07 1a e3 bnez	a4, -0xc
0x80004144: 00 47 87 93 addi	a5, a5, 4
0x80004148: 00 d7 8c 63 beq	a5, a3, 0x18
0x8000414c: 00 07 a7 03 lw	a4, 0(a5)
0x80004150: fe 07 1a e3 bnez	a4, -0xc
0x80004144: 00 47 87 93 addi	a5, a5, 4
0x80004148: 00 d7 8c 63 beq	a5, a3, 0x18
0x8000414c: 00 07 a7 03 lw	a4, 0(a5)
0x80004150: fe 07 1a e3 bnez	a4, -0xc
0x80004144: 00 47 87 93 addi	a5, a5, 4
0x80004148: 00 d7 8c 63 beq	a5, a3, 0x18
0x8000414c: 00 07 a7 03 lw	a4, 0(a5)
0x80004150: fe 07 1a e3 bnez	a4, -0xc
0x80004144: 00 47 87 93 addi	a5, a5, 4
0x80004148: 00 d7 8c 63 beq	a5, a3, 0x18
0x8000414c: 00 07 a7 03 lw	a4, 0(a5)
0x80004150: fe 07 1a e3 bnez	a4, -0xc
0x80004144: 00 47 87 93 addi	a5, a5, 4
0x80004148: 00 d7 8c 63 beq	a5, a3, 0x18
0x8000414c: 00 07 a7 03 lw	a4, 0(a5)
0x80004150: fe 07 1a e3 bnez	a4, -0xc
0x80004154: 00 c7 a0 23 sw	a2, 0(a5)
0x80004158: 00 47 87 93 addi	a5, a5, 4
0x8000415c: fe d7 98 e3 bne	a5, a3, -0x10
0x8000414c: 00 07 a7 03 lw	a4, 0(a5)
0x80004150: fe 07 1a e3 bnez	a4, -0xc
0x80004154: 00 c7 a0 23 sw	a2, 0(a5)
0x80004158: 00 47 87 93 addi	a5, a5, 4
0x8000415c: fe d7 98 e3 bne	a5, a3, -0x10
0x8000414c: 00 07 a7 03 lw	a4, 0(a5)
0x80004150: fe 07 1a e3 bnez	a4, -0xc
