cache_line_bytes: 4 cache_line_amt: 4  ifu_cpi: 68.677
cache_line_bytes: 4 cache_line_amt: 8  ifu_cpi: 46.981
cache_line_bytes: 4 cache_line_amt: 16  ifu_cpi: 38.793
cache_line_bytes: 4 cache_line_amt: 32  ifu_cpi: 20.362
cache_line_bytes: 4 cache_line_amt: 64  ifu_cpi: 12.107
cache_line_bytes: 4 cache_line_amt: 128  ifu_cpi: 7.366
cache_line_bytes: 8 cache_line_amt: 4  ifu_cpi: 40.841
cache_line_bytes: 8 cache_line_amt: 8  ifu_cpi: 33.314
cache_line_bytes: 8 cache_line_amt: 16  ifu_cpi: 18.049
cache_line_bytes: 8 cache_line_amt: 32  ifu_cpi: 10.714
cache_line_bytes: 8 cache_line_amt: 64  ifu_cpi: 6.594
cache_line_bytes: 8 cache_line_amt: 128  ifu_cpi: 5.113
cache_line_bytes: 16 cache_line_amt: 4  ifu_cpi: 35.013
cache_line_bytes: 16 cache_line_amt: 8  ifu_cpi: 19.294
cache_line_bytes: 16 cache_line_amt: 16  ifu_cpi: 11.123
cache_line_bytes: 16 cache_line_amt: 32  ifu_cpi: 6.617
cache_line_bytes: 16 cache_line_amt: 64  ifu_cpi: 4.977
cache_line_bytes: 16 cache_line_amt: 128  ifu_cpi: 4.224
cache_line_bytes: 32 cache_line_amt: 4  ifu_cpi: 27.206
cache_line_bytes: 32 cache_line_amt: 8  ifu_cpi: 17.155
cache_line_bytes: 32 cache_line_amt: 16  ifu_cpi: 11.437
cache_line_bytes: 32 cache_line_amt: 32  ifu_cpi: 5.221
cache_line_bytes: 32 cache_line_amt: 64  ifu_cpi: 4.270
cache_line_bytes: 32 cache_line_amt: 128  ifu_cpi: 3.723
cache_line_bytes: 64 cache_line_amt: 4  ifu_cpi: 26.525
cache_line_bytes: 64 cache_line_amt: 8  ifu_cpi: 17.316
cache_line_bytes: 64 cache_line_amt: 16  ifu_cpi: 6.552
cache_line_bytes: 64 cache_line_amt: 32  ifu_cpi: 5.248
cache_line_bytes: 64 cache_line_amt: 64  ifu_cpi: 4.571
cache_line_bytes: 64 cache_line_amt: 128  ifu_cpi: 3.563
cache_line_bytes: 128 cache_line_amt: 4  ifu_cpi: 35.557
cache_line_bytes: 128 cache_line_amt: 8  ifu_cpi: 8.978
cache_line_bytes: 128 cache_line_amt: 16  ifu_cpi: 7.019
cache_line_bytes: 128 cache_line_amt: 32  ifu_cpi: 6.160
cache_line_bytes: 128 cache_line_amt: 64  ifu_cpi: 3.695
cache_line_bytes: 128 cache_line_amt: 128  ifu_cpi: 3.375
