wang@wang-virtual-machine:~/My_ysyx-workbench/sCPU$ make run
RUN SIMULATION:
./obj_dir/Vtop
===== CPU Start Running =====
PC=0001 | h1=0 | h2=0 | r0=00001010 | r1=00000000 | r2=00000000 | r3=00000000 | rom0=10001010 | rom1=10010000 | rom2=10100000 | rom3=10110001
PC=0010 | h1=0 | h2=0 | r0=00001010 | r1=00000000 | r2=00000000 | r3=00000000 | rom0=10001010 | rom1=10010000 | rom2=10100000 | rom3=10110001
PC=0011 | h1=0 | h2=0 | r0=00001010 | r1=00000000 | r2=00000000 | r3=00000000 | rom0=10001010 | rom1=10010000 | rom2=10100000 | rom3=10110001
PC=0100 | h1=0 | h2=0 | r0=00001010 | r1=00000000 | r2=00000000 | r3=00000001 | rom0=10001010 | rom1=10010000 | rom2=10100000 | rom3=10110001
PC=0100 | h1=0 | h2=0 | r0=00001010 | r1=00000000 | r2=00000000 | r3=00000001 | rom0=10001010 | rom1=10010000 | rom2=10100000 | rom3=10110001
PC=0100 | h1=0 | h2=0 | r0=00001010 | r1=00000000 | r2=00000000 | r3=00000001 | rom0=10001010 | rom1=10010000 | rom2=10100000 | rom3=10110001
PC=0101 | h1=0 | h2=0 | r0=00001010 | r1=00000001 | r2=00000000 | r3=00000001 | rom0=10001010 | rom1=10010000 | rom2=10100000 | rom3=10110001
PC=0101 | h1=0 | h2=0 | r0=00001010 | r1=00000001 | r2=00000000 | r3=00000001 | rom0=10001010 | rom1=10010000 | rom2=10100000 | rom3=10110001
PC=0101 | h1=0 | h2=0 | r0=00001010 | r1=00000001 | r2=00000000 | r3=00000001 | rom0=10001010 | rom1=10010000 | rom2=10100000 | rom3=10110001
PC=0110 | h1=0 | h2=0 | r0=00001010 | r1=00000001 | r2=00000001 | r3=00000001 | rom0=10001010 | rom1=10010000 | rom2=10100000 | rom3=10110001
PC=0111 | h1=1 | h2=0 | r0=00001010 | r1=00000001 | r2=00000001 | r3=00000001 | rom0=10001010 | rom1=10010000 | rom2=10100000 | rom3=10110001
PC=0111 | h1=1 | h2=0 | r0=00001010 | r1=00000001 | r2=00000001 | r3=00000001 | rom0=10001010 | rom1=10010000 | rom2=10100000 | rom3=10110001
PC=0100 | h1=1 | h2=0 | r0=00001010 | r1=00000001 | r2=00000001 | r3=00000001 | rom0=10001010 | rom1=10010000 | rom2=10100000 | rom3=10110001
PC=0100 | h1=1 | h2=0 | r0=00001010 | r1=00000001 | r2=00000001 | r3=00000001 | rom0=10001010 | rom1=10010000 | rom2=10100000 | rom3=10110001
PC=0100 | h1=1 | h2=0 | r0=00001010 | r1=00000001 | r2=00000001 | r3=00000001 | rom0=10001010 | rom1=10010000 | rom2=10100000 | rom3=10110001
PC=0101 | h1=1 | h2=0 | r0=00001010 | r1=00000010 | r2=00000001 | r3=00000001 | rom0=10001010 | rom1=10010000 | rom2=10100000 | rom3=10110001
PC=0101 | h1=1 | h2=0 | r0=00001010 | r1=00000010 | r2=00000001 | r3=00000001 | rom0=10001010 | rom1=10010000 | rom2=10100000 | rom3=10110001
PC=0101 | h1=1 | h2=0 | r0=00001010 | r1=00000010 | r2=00000001 | r3=00000001 | rom0=10001010 | rom1=10010000 | rom2=10100000 | rom3=10110001
PC=0110 | h1=1 | h2=0 | r0=00001010 | r1=00000010 | r2=00000011 | r3=00000001 | rom0=10001010 | rom1=10010000 | rom2=10100000 | rom3=10110001
PC=0111 | h1=3 | h2=0 | r0=00001010 | r1=00000010 | r2=00000011 | r3=00000001 | rom0=10001010 | rom1=10010000 | rom2=10100000 | rom3=10110001
PC=0111 | h1=3 | h2=0 | r0=00001010 | r1=00000010 | r2=00000011 | r3=00000001 | rom0=10001010 | rom1=10010000 | rom2=10100000 | rom3=10110001
PC=0100 | h1=3 | h2=0 | r0=00001010 | r1=00000010 | r2=00000011 | r3=00000001 | rom0=10001010 | rom1=10010000 | rom2=10100000 | rom3=10110001
PC=0100 | h1=3 | h2=0 | r0=00001010 | r1=00000010 | r2=00000011 | r3=00000001 | rom0=10001010 | rom1=10010000 | rom2=10100000 | rom3=10110001
PC=0100 | h1=3 | h2=0 | r0=00001010 | r1=00000010 | r2=00000011 | r3=00000001 | rom0=10001010 | rom1=10010000 | rom2=10100000 | rom3=10110001
PC=0101 | h1=3 | h2=0 | r0=00001010 | r1=00000011 | r2=00000011 | r3=00000001 | rom0=10001010 | rom1=10010000 | rom2=10100000 | rom3=10110001
PC=0101 | h1=3 | h2=0 | r0=00001010 | r1=00000011 | r2=00000011 | r3=00000001 | rom0=10001010 | rom1=10010000 | rom2=10100000 | rom3=10110001
PC=0101 | h1=3 | h2=0 | r0=00001010 | r1=00000011 | r2=00000011 | r3=00000001 | rom0=10001010 | rom1=10010000 | rom2=10100000 | rom3=10110001
PC=0110 | h1=3 | h2=0 | r0=00001010 | r1=00000011 | r2=00000110 | r3=00000001 | rom0=10001010 | rom1=10010000 | rom2=10100000 | rom3=10110001
PC=0111 | h1=6 | h2=0 | r0=00001010 | r1=00000011 | r2=00000110 | r3=00000001 | rom0=10001010 | rom1=10010000 | rom2=10100000 | rom3=10110001
PC=0111 | h1=6 | h2=0 | r0=00001010 | r1=00000011 | r2=00000110 | r3=00000001 | rom0=10001010 | rom1=10010000 | rom2=10100000 | rom3=10110001
PC=0100 | h1=6 | h2=0 | r0=00001010 | r1=00000011 | r2=00000110 | r3=00000001 | rom0=10001010 | rom1=10010000 | rom2=10100000 | rom3=10110001
PC=0100 | h1=6 | h2=0 | r0=00001010 | r1=00000011 | r2=00000110 | r3=00000001 | rom0=10001010 | rom1=10010000 | rom2=10100000 | rom3=10110001
PC=0100 | h1=6 | h2=0 | r0=00001010 | r1=00000011 | r2=00000110 | r3=00000001 | rom0=10001010 | rom1=10010000 | rom2=10100000 | rom3=10110001
PC=0101 | h1=6 | h2=0 | r0=00001010 | r1=00000100 | r2=00000110 | r3=00000001 | rom0=10001010 | rom1=10010000 | rom2=10100000 | rom3=10110001
PC=0101 | h1=6 | h2=0 | r0=00001010 | r1=00000100 | r2=00000110 | r3=00000001 | rom0=10001010 | rom1=10010000 | rom2=10100000 | rom3=10110001
PC=0101 | h1=6 | h2=0 | r0=00001010 | r1=00000100 | r2=00000110 | r3=00000001 | rom0=10001010 | rom1=10010000 | rom2=10100000 | rom3=10110001
PC=0110 | h1=6 | h2=0 | r0=00001010 | r1=00000100 | r2=00001010 | r3=00000001 | rom0=10001010 | rom1=10010000 | rom2=10100000 | rom3=10110001
PC=0111 | h1=A | h2=0 | r0=00001010 | r1=00000100 | r2=00001010 | r3=00000001 | rom0=10001010 | rom1=10010000 | rom2=10100000 | rom3=10110001
PC=0111 | h1=A | h2=0 | r0=00001010 | r1=00000100 | r2=00001010 | r3=00000001 | rom0=10001010 | rom1=10010000 | rom2=10100000 | rom3=10110001
PC=0100 | h1=A | h2=0 | r0=00001010 | r1=00000100 | r2=00001010 | r3=00000001 | rom0=10001010 | rom1=10010000 | rom2=10100000 | rom3=10110001
PC=0100 | h1=A | h2=0 | r0=00001010 | r1=00000100 | r2=00001010 | r3=00000001 | rom0=10001010 | rom1=10010000 | rom2=10100000 | rom3=10110001
PC=0100 | h1=A | h2=0 | r0=00001010 | r1=00000100 | r2=00001010 | r3=00000001 | rom0=10001010 | rom1=10010000 | rom2=10100000 | rom3=10110001
PC=0101 | h1=A | h2=0 | r0=00001010 | r1=00000101 | r2=00001010 | r3=00000001 | rom0=10001010 | rom1=10010000 | rom2=10100000 | rom3=10110001
PC=0101 | h1=A | h2=0 | r0=00001010 | r1=00000101 | r2=00001010 | r3=00000001 | rom0=10001010 | rom1=10010000 | rom2=10100000 | rom3=10110001
PC=0101 | h1=A | h2=0 | r0=00001010 | r1=00000101 | r2=00001010 | r3=00000001 | rom0=10001010 | rom1=10010000 | rom2=10100000 | rom3=10110001
PC=0110 | h1=A | h2=0 | r0=00001010 | r1=00000101 | r2=00001111 | r3=00000001 | rom0=10001010 | rom1=10010000 | rom2=10100000 | rom3=10110001
